variant,strategy,pearson,spearman
baseline,penultimate,0.9686648686855271,0.989690249425895
baseline,last4_concat,0.960561364020867,0.989652763966479
dapt,penultimate,0.9780297088310709,0.9903650112319332
dapt,last4_concat,0.9715460186303548,0.9896844463117767
