metric,strategy,mean_baseline,mean_dapt,diff_dapt_minus_baseline
k,penultimate,13.238095238095237,10.5,-2.7380952380952372
entropy,penultimate,3.804672807757195,3.6257605078324806,-0.17891229992471436
drift,penultimate,1.9021968839882837,1.693870489266959,-0.20832639472132475
procrustes,penultimate,2.4730038631260425,2.13286129177818,-0.3401425713478625
