,count,mean,std,min,25%,50%,75%,max,iqr
k_baseline_penultimate,42.0,13.238095238095237,6.29676465050737,4.0,9.0,13.5,17.0,28.0,8.0
k_baseline_last4_concat,42.0,15.30952380952381,7.744354655877057,4.0,10.0,15.5,19.75,34.0,9.75
