variant,strategy,orthogonality_error,max_cosine
baseline,penultimate,7.387390343696858e-15,3.1363800445660672e-15
baseline,last4_concat,2.836227790663181e-15,7.997075224253081e-16
dapt,penultimate,3.873248560699882e-14,1.759703494030873e-14
dapt,last4_concat,5.819004170785333e-15,2.8484159475539172e-15
