metric,strategy,mean_delta,wilcoxon_stat,p_value,significant
k,penultimate,-2.738095238095238,0.0,1.4820539489898108e-07,True
k,last4_concat,-3.142857142857143,0.0,6.498451305369276e-08,True
entropy,penultimate,-0.17891229992471402,0.0,4.547473508864641e-13,True
entropy,last4_concat,-0.17529577639671595,0.0,4.547473508864641e-13,True
drift,penultimate,-0.20832639472132466,154.0,0.0001899483513625455,True
drift,last4_concat,-0.2817207320086841,96.0,2.974413291667588e-06,True
procrustes,penultimate,-0.34014257134786197,19.0,2.7921487344428897e-10,True
procrustes,last4_concat,-0.3407080475527068,28.0,1.3487806427292526e-09,True
