window_end_month,drift_baseline_penultimate,drift_dapt_penultimate,delta
2019-08-01,,,
2019-11-01,2.323037134651889,2.5606143600331093,0.23757722538122028
2019-12-01,1.5434231490818815,1.3662544009977573,-0.1771687480841242
2020-01-01,0.284632245694779,0.5464600388220587,0.2618277931272797
2020-02-01,1.9846195907845936,1.5879844390141524,-0.3966351517704412
2020-03-01,1.2995853466189435,0.9411741393003435,-0.3584112073186
2020-04-01,0.9952010296833644,0.9295295484447232,-0.0656714812386412
2020-05-01,1.7495050771958118,1.2698917173174242,-0.4796133598783876
2020-06-01,2.6572634798860224,2.411529501587067,-0.2457339782989556
2020-07-01,1.877341787945276,1.895111374831221,0.017769586885944877
2020-08-01,2.005538734911249,1.545397737690456,-0.4601409972207928
2020-09-01,2.2831321745457847,2.21686503427227,-0.06626714027351444
2020-10-01,1.4995556063254971,1.059549291278436,-0.4400063150470612
2020-11-01,1.9623650552994385,1.834036718140975,-0.1283283371584636
2020-12-01,1.888301640711919,1.7448373651837226,-0.14346427552819652
2021-01-01,1.1653476529806874,0.9870559826395312,-0.17829167034115623
2021-02-01,3.0413460595668447,2.4597901277546854,-0.5815559318121593
2021-03-01,3.163333449523301,2.206905089654768,-0.956428359868533
2021-04-01,1.7485653893683986,1.6771387075069766,-0.07142668186142198
2021-05-01,2.568377026094335,2.0899684052276126,-0.4784086208667224
2021-06-01,2.4771688604984003,2.012961714052936,-0.46420714644546424
2021-07-01,1.5150014961795175,1.888409451428158,0.37340795524864046
2021-08-01,1.6030153726738958,1.1416324410696523,-0.4613829316042435
2021-09-01,2.7888257691440126,2.4532436632895083,-0.3355821058545043
2021-10-01,1.455166664392182,1.5248251868394302,0.06965852244724835
2021-11-01,1.655029788395545,1.6444277786368826,-0.010602009758662323
2021-12-01,2.1127366338186344,1.903565096053944,-0.20917153776469033
2022-01-01,2.350302620612989,1.636377910320995,-0.7139247102919941
2022-02-01,1.5455723113169522,1.3914840949239176,-0.1540882163930346
2022-03-01,1.485201162129862,1.310510131791729,-0.17469103033813305
2022-04-01,1.393686429289446,1.9074630389968557,0.5137766097074097
2022-05-01,1.952329419753717,2.0035900493416268,0.05126062958790967
2022-06-01,0.7123979938774646,0.4010256540018364,-0.31137233987562823
2022-07-01,1.4056890508703248,1.9951093459589837,0.5894202950886589
2022-08-01,1.68154436945416,1.0012417999521583,-0.6803025695020017
2022-09-01,0.8136344503441891,0.5737646182777305,-0.23986983206645862
2022-10-01,3.090326306602567,2.6818613531834035,-0.40846495341916356
2022-11-01,1.6743350481588517,1.6706537277090343,-0.0036813204498173935
2022-12-01,2.212193678663355,2.0200287938758428,-0.19216488478751215
2023-01-01,3.1259048797313,2.5364362705642,-0.5894686091671
2023-02-01,2.0014072064130475,2.0041797024870247,0.0027724960739772264
2023-03-01,2.898131100329207,2.4158042574921845,-0.48232684283702243
