variant,strategy,condition,orthogonality_error,max_cosine
baseline,penultimate,raw,0.010040815503780767,0.0031375493900505924
baseline,penultimate,corrected,0.0024091355389238185,0.0004981331692964644
baseline,last4_concat,raw,0.008439381256679881,0.0027139974853625307
baseline,last4_concat,corrected,0.003445446497858439,0.00081899192274895
dapt,penultimate,raw,0.0249976256521097,0.009442301196244951
dapt,penultimate,corrected,0.0031276152084761667,0.0008754377636222277
dapt,last4_concat,raw,0.014802851999597822,0.005437953779272732
dapt,last4_concat,corrected,0.0045515667942262975,0.0014054868212720053
