variant,strategy,mean,std
baseline,penultimate,3.804672807757195,0.5971169614593674
baseline,last4_concat,3.8117143464973693,0.6003959503976259
dapt,penultimate,3.6257605078324806,0.5517633926224247
dapt,last4_concat,3.636418570100654,0.5536811338127384
