variant,strategy,corr_drift_procrustes,mean_drift,mean_procrustes
baseline,penultimate,0.7460203777782227,1.9021968839882841,2.4730038631260425
baseline,last4_concat,0.7390111075722922,2.041977651550775,2.657189402802361
dapt,penultimate,0.6977367955123847,1.693870489266959,2.13286129177818
dapt,last4_concat,0.6321589599136321,1.7602569195420905,2.3164813552496546
